Date,SBIN.NS,HDFCBANK.NS,AXISBANK.NS,ICICIBANK.NS,INDUSINDBK.NS
2022-02-18,489.5011901855469,1458.10693359375,783.984130859375,726.0503540039062,927.1345825195312
2022-02-21,486.2239685058594,1467.50732421875,785.4277954101562,731.4309692382812,924.3202514648438
2022-02-22,473.44732666015625,1456.516357421875,775.7699584960938,728.3770751953125,911.364501953125
2022-02-23,473.7322998046875,1447.06787109375,773.828369140625,721.8815307617188,922.6219482421875
2022-02-24,448.98651123046875,1368.4908447265625,727.1318359375,685.8165893554688,849.7885131835938
2022-02-25,458.7708435058594,1403.8746337890625,754.7613525390625,707.7754516601562,899.6704711914062
2022-02-28,459.00830078125,1375.09521484375,739.1793212890625,720.0394897460938,893.5079345703125
2022-03-02,450.50640869140625,1324.960205078125,746.9953002929688,693.0392456054688,879.5818481445312
2022-03-03,443.9993591308594,1321.826904296875,734.4498901367188,676.9942016601562,885.3074951171875
2022-03-04,438.82220458984375,1317.4881591796875,711.8981323242188,667.0569458007812,875.2632446289062
2022-03-07,418.2561340332031,1277.283935546875,664.654052734375,633.803466796875,809.7567749023438
2022-03-08,418.2561340332031,1280.17626953125,667.4916381835938,644.710205078125,815.8707275390625
2022-03-09,429.08538818359375,1321.971435546875,671.2752075195312,647.0853881835938,849.497314453125
2022-03-10,445.2342834472656,1342.74853515625,691.9351806640625,655.9562377929688,877.59228515625
2022-03-11,446.8016662597656,1346.7015380859375,687.8529052734375,657.2166137695312,875.11767578125
2022-03-14,460.8606872558594,1390.810546875,706.9696655273438,674.9097290039062,880.794921875
2022-03-15,461.525634765625,1372.926025390625,695.121337890625,676.0731811523438,870.1683349609375
2022-03-16,468.0802001953125,1396.209716796875,720.7097778320312,686.398193359375,901.2232055664062
2022-03-17,476.7720947265625,1426.9656982421875,736.04296875,698.1290283203125,904.9109497070312
2022-03-21,466.0378112792969,1433.1842041015625,722.7508544921875,689.0643310546875,886.423583984375
2022-03-22,468.98260498046875,1440.5599365234375,728.2271118164062,696.2870483398438,900.3012084960938
2022-03-23,466.0852966308594,1426.1942138671875,723.59716796875,696.3839721679688,903.8434448242188
2022-03-24,462.7130432128906,1390.906982421875,719.11669921875,682.7141723632812,897.4868774414062
2022-03-25,466.1328125,1379.5784912109375,718.12109375,677.9152221679688,898.89404296875
2022-03-28,472.5923767089844,1381.4102783203125,732.8070678710938,688.676513671875,907.53125
2022-03-29,470.2175598144531,1399.72900390625,734.5992431640625,693.4755249023438,901.7084350585938
2022-03-30,469.55255126953125,1423.9766845703125,747.1943969726562,708.5995483398438,898.942626953125
2022-03-31,468.8401184082031,1417.613525390625,757.8479614257812,708.0178833007812,907.7738647460938
2022-04-01,482.75665283203125,1451.98486328125,771.1898803710938,713.7862548828125,939.9932250976562
2022-04-04,486.7464294433594,1597.376220703125,780.6983642578125,723.8204345703125,958.0440063476562
2022-04-05,483.8965759277344,1550.5675048828125,779.7027587890625,719.1669311523438,944.5059814453125
2022-04-06,488.21881103515625,1495.226318359375,770.343505859375,718.9730834960938,939.7020874023438
2022-04-07,489.16876220703125,1462.3492431640625,788.6636962890625,725.7109985351562,943.8751220703125
2022-04-08,490.2611389160156,1460.32470703125,791.4515991210938,731.2855834960938,956.4912109375
2022-04-11,489.12127685546875,1442.4881591796875,782.6399536132812,736.423828125,951.4932861328125
2022-04-12,487.1738586425781,1439.9332275390625,794.9862060546875,740.544189453125,956.0059814453125
2022-04-13,491.78106689453125,1412.4071044921875,789.609619140625,738.9930419921875,954.3562622070312
2022-04-18,483.9916076660156,1345.39990234375,795.3843994140625,734.6787719726562,948.5819091796875
2022-04-19,486.1764221191406,1294.059814453125,794.3389892578125,742.9193725585938,935.3350219726562
2022-04-20,483.8016052246094,1305.7259521484375,791.2525024414062,732.4974365234375,943.82666015625
2022-04-21,490.4511413574219,1325.056640625,798.3216552734375,739.0899658203125,960.0333862304688
2022-04-22,475.53717041015625,1306.9791259765625,777.213623046875,724.8385009765625,931.5016479492188
2022-04-25,469.9800720214844,1316.76513671875,777.3131103515625,729.2496337890625,918.594482421875
2022-04-26,480.1918640136719,1322.8392333984375,771.6378784179688,730.7523803710938,951.4932861328125
2022-04-27,472.3548889160156,1323.3214111328125,762.577392578125,714.2225341796875,945.7190551757812
2022-04-28,482.09173583984375,1322.164306640625,776.4171142578125,724.3538208007812,959.1599731445312
2022-04-29,471.4524230957031,1334.9390869140625,725.4391479492188,720.6212158203125,949.6494140625
2022-05-02,466.4178161621094,1353.35400390625,724.194580078125,718.3914184570312,988.0313110351562
2022-05-04,455.6360168457031,1307.3648681640625,704.1320190429688,702.1524047851562,949.4067993164062
2022-05-05,455.968505859375,1304.4241943359375,699.3030395507812,706.5635986328125,909.1324462890625
